longitude,latitude,trace_type,distance,cumulative_distance,curvature
-90.13496815354642,38.648227300855396,racing_line,2.463813011651054e-05,0.005270006105986548,0.20767939134795022
-90.13497349189147,38.648202176495126,racing_line,2.5685237138276723e-05,0.005295691343124825,0.21733087272477225
-90.1349732876904,38.648176548187124,racing_line,2.5629121505113034e-05,0.005321320464629939,0.23247228582596846
-90.13496652784573,38.64814897757892,racing_line,2.8387214316076673e-05,0.005349707678946015,0.22166617707566694
-90.1349527741674,38.64812136388642,racing_line,3.0849306009333096e-05,0.005380556984955348,0.21448608074374242
-90.1349323575817,38.64809593978235,racing_line,3.260708572024807e-05,0.005413164070675596,0.19340065334120538
-90.13490644699216,38.648074079980226,racing_line,3.3899994091038336e-05,0.0054470640647666345,0.1734348572952895
-90.1348768454502,38.64805684040471,racing_line,3.4255718511511996e-05,0.0054813197832781465,0.14697808615748525
-90.13484540201004,38.64804426725277,racing_line,3.386405289145663e-05,0.005515183836169603,0.12823310808193833
-90.13481281551299,38.648035871625,racing_line,3.365065164464844e-05,0.0055488344878142516,0.1150583871098996
-90.13477915410219,38.648031227543534,racing_line,3.398025999693544e-05,0.005582814747811187,0.10662114328546024
-90.1347448555083,38.64803018186984,racing_line,3.431453010320871e-05,0.005617129277914396,0.09977441516339336
-90.13471021249235,38.648032586359356,racing_line,3.4726360650178795e-05,0.005651855638564574,0.10195484514120264
-90.13467621789397,38.64803846556568,racing_line,3.449924327030421e-05,0.005686354881834879,0.10367706280922379
-90.13464314797419,38.648047793641524,racing_line,3.43603345904576e-05,0.005720715216425336,0.12065073433051599
-90.13461185078556,38.64806086309066,racing_line,3.3916434316899724e-05,0.005754631650742236,0.12938616724663765
-90.13458245096454,38.64807789069508,racing_line,3.397482579668584e-05,0.005788606476538922,0.14224349185876772
-90.13455569366855,38.64809896797995,racing_line,3.406177955792944e-05,0.005822668256096852,0.14504251300029258
-90.1345321539271,38.64812380715986,racing_line,3.422140099847103e-05,0.005856889657095322,0.134115211168505
