longitude,latitude,trace_type
-10033730.171979304,4671570.104483867,racing_line
-10033730.213254595,4671570.348791469,racing_line
-10033730.254530273,4671570.593188593,racing_line
-10033730.29581093,4671570.837674346,racing_line
-10033730.337098466,4671571.082247906,racing_line
-10033730.378392246,4671571.3269086685,racing_line
-10033730.419689719,4671571.571656307,racing_line
-10033730.46098732,4671571.81649076,racing_line
-10033730.502281401,4671572.061412133,racing_line
-10033730.543568913,4671572.306420584,racing_line
-10033730.5848478,4671572.551516209,racing_line
-10033730.626116943,4671572.796698971,racing_line
-10033730.667375803,4671573.041968694,racing_line
-10033730.708623892,4671573.287325114,racing_line
-10033730.749860313,4671573.532767944,racing_line
-10033730.791083433,4671573.778296994,racing_line
-10033730.832290966,4671574.023912216,racing_line
-10033730.873480305,4671574.269613717,racing_line
-10033730.914648991,4671574.515401745,racing_line
-10033730.955795318,4671574.761276584,racing_line
-10033730.996918768,4671575.007238463,racing_line
-10033731.038020253,4671575.253287435,racing_line
-10033731.079102142,4671575.499423271,racing_line
-10033731.120167937,4671575.745645415,racing_line
-10033731.161221705,4671575.991952962,racing_line
-10033731.202267375,4671576.238344731,racing_line
-10033731.243307993,4671576.484819373,racing_line
-10033731.284344994,4671576.731375536,racing_line
-10033731.32537784,4671576.978012038,racing_line
-10033731.366403881,4671577.2247280255,racing_line
-10033731.407418583,4671577.471523089,racing_line
-10033731.448416064,4671577.718397342,racing_line
-10033731.489389785,4671577.9653514065,racing_line
-10033731.530333403,4671578.212386373,racing_line
-10033731.571241587,4671578.459503675,racing_line
-10033731.612110842,4671578.706704899,racing_line
-10033731.65294009,4671578.953991593,racing_line
-10033731.693730995,4671579.201365031,racing_line
-10033731.734487966,4671579.448826009,racing_line
-10033731.775217757,4671579.696374675,racing_line
-10033731.8159287,4671579.944010442,racing_line
-10033731.856629726,4671580.19173198,racing_line
-10033731.897329241,4671580.4395373035,racing_line
-10033731.938041154,4671580.687422761,racing_line
-10033731.978764161,4671580.935386457,racing_line
-10033732.019474497,4671581.183429638,racing_line
-10033732.060162466,4671581.431550922,racing_line
-10033732.10083967,4671581.679745177,racing_line
-10033732.141518323,4671581.928007286,racing_line
-10033732.182210635,4671582.176332487,racing_line
-10033732.222906474,4671582.424720297,racing_line
-10033732.263566809,4671582.673175738,racing_line
-10033732.304182764,4671582.921699474,racing_line
-10033732.344748031,4671583.170292352,racing_line
-10033732.385259455,4671583.41895516,racing_line
-10033732.425717024,4671583.66768844,racing_line
-10033732.466123428,4671583.91649236,racing_line
-10033732.506483328,4671584.165366683,racing_line
-10033732.546802513,4671584.4143108,racing_line
-10033732.587087225,4671584.663323791,racing_line
-10033732.627343684,4671584.912404497,racing_line
-10033732.667577885,4671585.161551572,racing_line
-10033732.707795542,4671585.410763504,racing_line
-10033732.74800212,4671585.660038626,racing_line
-10033732.78821433,4671585.90937325,racing_line
-10033732.82847318,4671586.158759572,racing_line
-10033732.868772194,4671586.408197092,racing_line
-10033732.909101818,4671586.657685533,racing_line
-10033732.94945041,4671586.907224697,racing_line
-10033732.989805173,4671587.15681438,racing_line
-10033733.030153047,4671587.406454312,racing_line
-10033733.070481502,4671587.656144148,racing_line
-10033733.11077923,4671587.905883476,racing_line
-10033733.151036762,4671588.155671837,racing_line
-10033733.191246964,4671588.40550874,racing_line
-10033733.231405474,4671588.655393623,racing_line
-10033733.271528296,4671588.905323043,racing_line
-10033733.311617773,4671589.155296047,racing_line
-10033733.35167405,4671589.405312208,racing_line
-10033733.391699895,4671589.655370703,racing_line
-10033733.431700408,4671589.905470171,racing_line
-10033733.471682515,4671590.15560863,racing_line
-10033733.51165422,4671590.4057834465,racing_line
-10033733.551623806,4671590.655991364,racing_line
-10033733.591599047,4671590.906228572,racing_line
-10033733.631586378,4671591.156490838,racing_line
-10033733.67159032,4671591.406773683,racing_line
-10033733.711616155,4671591.65707206,racing_line
-10033733.751674827,4671591.907379743,racing_line
-10033733.791764028,4671592.157692536,racing_line
-10033733.83187928,4671592.408006681,racing_line
-10033733.872014543,4671592.6583189275,racing_line
-10033733.91216274,4671592.908626562,racing_line
-10033733.952309288,4671593.15892853,racing_line
-10033733.992452387,4671593.409222188,racing_line
-10033734.032594424,4671593.659504667,racing_line
-10033734.072720494,4671593.909776274,racing_line
-10033734.112824813,4671594.160036167,racing_line
-10033734.152902624,4671594.410283545,racing_line
-10033734.192950383,4671594.660517541,racing_line
-10033734.232965924,4671594.910737103,racing_line
-10033734.272948708,4671595.160940887,racing_line
-10033734.312899992,4671595.411127193,racing_line
-10033734.352822924,4671595.661293909,racing_line
-10033734.392722487,4671595.911438515,racing_line
-10033734.432605345,4671596.161558067,racing_line
-10033734.472479515,4671596.411649233,racing_line
-10033734.512353858,4671596.661708315,racing_line
-10033734.5522375,4671596.91173128,racing_line
-10033734.59213914,4671597.161713793,racing_line
-10033734.632066287,4671597.411651278,racing_line
-10033734.672024556,4671597.661538996,racing_line
-10033734.71201706,4671597.9113721475,racing_line
-10033734.752044085,4671598.161145961,racing_line
-10033734.792091507,4671598.410857651,racing_line
-10033734.832117872,4671598.660508595,racing_line
-10033734.872126475,4671598.910092972,racing_line
-10033734.912121283,4671599.1596049145,racing_line
-10033734.952106472,4671599.4090387,racing_line
-10033734.992085965,4671599.658388896,racing_line
