t,seconds_elapsed,E,N,lat,lon,speed,heading_deg,yaw_rate
1782421471540309000,51.54,11.789757305523421,-29.39714673794017,38.64841237547758,-90.13534822701024,9.948421478259403,21.706003387271345,-0.14522385129478263
1782421471550309000,51.550000000000004,11.971301140024918,-29.324797558885763,38.648413026129376,-90.13534613650641,9.948421478259402,21.750469450313048,0.15773328618794885
1782421471560309000,51.56,12.15318696368059,-29.252149554809357,38.648413679468575,-90.13534404206452,9.948421478259402,21.79434426754722,0.3982129013146715
1782421471570309000,51.57,12.335411126950346,-29.179205644255877,38.64841433546892,-90.1353419437266,9.948421478259402,21.83763463048719,0.5572037309622971
1782421471580309000,51.58,12.517969980293946,-29.105968745770276,38.64841499410417,-90.13533984153467,9.948421478259402,21.880347196107586,0.5969925360861056
1782421471590309000,51.59,12.700859874171284,-29.032441777897475,38.64841565534808,-90.13533773553077,9.948421478259402,21.922488489638962,0.5803398831021944
1782421471600309000,51.6,12.88407715904187,-28.958627659182536,38.6484163191744,-90.13533562575691,9.948421478259402,21.96406490727984,0.4357340371129424
1782421471610309000,51.61,13.067618185365598,-28.88452930817039,38.64841698555688,-90.13533351225512,9.948421478259402,22.0050827188516,0.21031575753828466
1782421471620309000,51.620000000000005,13.25147930360237,-28.810149643405925,38.64841765446928,-90.13533139506741,9.948421478259402,22.045548070366905,-0.009424464033830956
1782421471630309000,51.63,13.435656864211676,-28.735491583434225,38.64841832588534,-90.13532927423583,9.9484214782594,22.0854669865367,-0.2072554604263897
1782421471640309000,51.64,13.620147217653427,-28.660558046800205,38.648418999778826,-90.13532714980241,9.9484214782594,22.124845373218935,-0.3002315548300426
1782421471650309000,51.65,13.804946714387382,-28.58535195204883,38.64841967612348,-90.13532502180914,9.9484214782594,22.163689019789814,-0.2863169781405175
1782421471660309000,51.660000000000004,13.990051704873446,-28.509876217724994,38.64842035489307,-90.13532289029807,9.9484214782594,22.20200360145907,-0.15511829609961225
1782421471670309000,51.67,14.175458539571105,-28.434133762373783,38.648421036061336,-90.13532075531123,9.9484214782594,22.23979468152324,-0.029229805935855748
1782421471680309000,51.68,14.361163568940274,-28.358127504540118,38.648421719602034,-90.13531861689061,9.9484214782594,22.277067713566307,0.12534162486363665
1782421471690309000,51.69,14.547163143440708,-28.281860362768953,38.648422405488915,-90.13531647507828,9.9484214782594,22.3138280435963,0.23248864898950033
1782421471700309000,51.7,14.733453613532312,-28.205335255605192,38.64842309369574,-90.13531432991624,9.9484214782594,22.35008091211679,0.2788614077208969
1782421471710309000,51.71,14.920031329674586,-28.12855510159393,38.648423784196254,-90.13531218144652,9.948421478259398,22.385831456172088,0.28913900561320816
1782421471720309000,51.72,15.106892642327427,-28.051522819280045,38.648424476964216,-90.13531002971115,9.948421478259398,22.421084711306563,0.18205350669305376
1782421471730309000,51.730000000000004,15.294033901950728,-27.974241327208485,38.64842517197337,-90.13530787475214,9.948421478259398,22.455845613498916,0.07119034929299715
1782421471740309000,51.74,15.48145145900399,-27.896713543924292,38.648425869197474,-90.13530571661154,9.948421478259398,22.490119001030894,-0.03584344343585003
1782421471750309000,51.75,15.669141663947117,-27.818942387972406,38.64842656861028,-90.13530355533135,9.948421478259398,22.523909616314207,-0.09704513073905531
1782421471760309000,51.76,15.857100867239879,-27.740930777897763,38.64842727018555,-90.1353013909536,9.948421478259398,22.55722210766997,-0.16038743625877913
1782421471770309000,51.77,16.045325419342177,-27.66268163224529,38.64842797389702,-90.13529922352032,9.948421478259398,22.59006103105619,-0.18447463602227218
1782421471780309000,51.78,16.23381167071349,-27.58419786956006,38.64842867971846,-90.13529705307354,9.948421478259398,22.62243085176214,-0.10954331387161258
1782421471790309000,51.79,16.422555971813733,-27.50548240838698,38.64842938762361,-90.13529487965528,9.948421478259398,22.654335946042373,0.007193881187353483
1782421471800309000,51.800000000000004,16.611554673102802,-27.42653816727097,38.64843009758622,-90.13529270330756,9.948421478259396,22.685780602728048,0.13744576365321573
1782421471810309000,51.81,16.800804125040194,-27.34736806475709,38.64843080958006,-90.1352905240724,9.948421478259396,22.71676902478295,0.17518803396745516
1782421471820309000,51.82,16.990300678085823,-27.267975019390256,38.64843152357887,-90.13528834199185,9.948421478259396,22.74730533081739,0.14068113282213926
1782421471830309000,51.83,17.180040682699435,-27.18836194971544,38.648432239556406,-90.13528615710791,9.948421478259396,22.777393556577913,0.08829428148715779
1782421471840309000,51.84,17.37002048934093,-27.10853177427754,38.64843295748642,-90.13528396946263,9.948421478259396,22.807037656382636,0.16916526006017116
1782421471850309000,51.85,17.560236448469812,-27.028487411621647,38.64843367734267,-90.13528177909801,9.948421478259396,22.836241504529863,0.18036368233029265
1782421471860309000,51.86,17.750684910545996,-26.948231780292655,38.6484343990989,-90.13527958605609,9.948421478259396,22.865008896665476,0.19098771450974933
1782421471870309000,51.870000000000005,17.94136222602936,-26.86776779883548,38.64843512272888,-90.13527739037887,9.948421478259396,22.893343551111833,0.1931629313693432
