t,seconds_elapsed,tone_hz,rpm_est
1782422519619623400,4.62,39.0625,4687.5
1782422519629623400,4.63,39.0625,4687.5
1782422519639623400,4.64,39.0625,4687.5
1782422519649623400,4.65,39.0625,4687.5
1782422519659623400,4.66,39.0625,4687.5
1782422519669623400,4.67,39.0625,4687.5
1782422519679623400,4.68,39.0625,4687.5
1782422519689623400,4.69,39.0625,4687.5
1782422519699623400,4.7,39.0625,4687.5
1782422519709623400,4.71,39.0625,4687.5
1782422519719623400,4.72,39.0625,4687.5
1782422519729623400,4.73,39.0625,4687.5
1782422519739623400,4.74,39.0625,4687.5
1782422519749623400,4.75,39.0625,4687.5
1782422519759623400,4.76,39.0625,4687.5
1782422519769623400,4.7700000000000005,39.0625,4687.5
1782422519779623400,4.78,39.0625,4687.5
1782422519789623400,4.79,39.0625,4687.5
1782422519799623400,4.8,39.0625,4687.5
1782422519809623400,4.8100000000000005,39.0625,4687.5
1782422519819623400,4.82,39.0625,4687.5
1782422519829623400,4.83,39.0625,4687.5
1782422519839623400,4.84,39.0625,4687.5
1782422519849623400,4.8500000000000005,39.0625,4687.5
1782422519859623400,4.86,39.0625,4687.5
1782422519869623400,4.87,39.0625,4687.5
1782422519879623400,4.88,39.0625,4687.5
1782422519889623400,4.89,39.0625,4687.5
1782422519899623400,4.9,39.0625,4687.5
1782422519909623400,4.91,39.0625,4687.5
1782422519919623400,4.92,39.0625,4687.5
1782422519929623400,4.93,39.0625,4687.5
1782422519939623400,4.94,39.0625,4687.5
1782422519949623400,4.95,39.0625,4687.5
1782422519959623400,4.96,39.0625,4687.5
1782422519969623400,4.97,39.0625,4687.5
1782422519979623400,4.98,39.0625,4687.5
1782422519989623400,4.99,39.0625,4687.5
1782422519999623400,5.0,39.0625,4687.5
1782422520009623400,5.01,39.0625,4687.5
1782422520019623400,5.0200000000000005,39.0625,4687.5
1782422520029623400,5.03,39.0625,4687.5
1782422520039623400,5.04,39.0625,4687.5
1782422520049623400,5.05,39.0625,4687.5
1782422520059623400,5.0600000000000005,39.0625,4687.5
1782422520069623400,5.07,39.0625,4687.5
1782422520079623400,5.08,39.0625,4687.5
1782422520089623400,5.09,39.0625,4687.5
1782422520099623400,5.1000000000000005,39.0625,4687.5
1782422520109623400,5.11,39.0625,4687.5
1782422520119623400,5.12,39.0625,4687.5
1782422520129623400,5.13,39.0625,4687.5
1782422520139623400,5.14,39.0625,4687.5
1782422520149623400,5.15,39.0625,4687.5
1782422520159623400,5.16,39.0625,4687.5
1782422520169623400,5.17,39.0625,4687.5
1782422520179623400,5.18,39.0625,4687.5
1782422520189623400,5.19,39.0625,4687.5
1782422520199623400,5.2,39.0625,4687.5
1782422520209623400,5.21,39.0625,4687.5
1782422520219623400,5.22,39.0625,4687.5
1782422520229623400,5.23,39.0625,4687.5
1782422520239623400,5.24,39.0625,4687.5
1782422520249623400,5.25,39.0625,4687.5
1782422520259623400,5.26,39.0625,4687.5
1782422520269623400,5.2700000000000005,39.0625,4687.5
1782422520279623400,5.28,39.0625,4687.5
1782422520289623400,5.29,39.0625,4687.5
1782422520299623400,5.3,39.0625,4687.5
1782422520309623400,5.3100000000000005,39.0625,4687.5
1782422520319623400,5.32,39.0625,4687.5
1782422520329623400,5.33,39.0625,4687.5
1782422520339623400,5.34,39.0625,4687.5
1782422520349623400,5.3500000000000005,39.0625,4687.5
1782422520359623400,5.36,39.0625,4687.5
1782422520369623400,5.37,39.0625,4687.5
1782422520379623400,5.38,39.0625,4687.5
1782422520389623400,5.39,39.0625,4687.5
